Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,334310,Audio and Video Equipment Manufacturing,*,2640,Manufacture of consumer electronics, ,2640,F4.0704,NAICS-334310,ISIC-2640,,1,1
,334412,Bare Printed Circuit Board Manufacturing,*,2610,Manufacture of electronic components and boards, ,2610,F4.0705,NAICS-334412,ISIC-2610,,1,1
,334413,Semiconductor and Related Device Manufacturing,*,2610,Manufacture of electronic components and boards, ,2610,F4.0706,NAICS-334413,ISIC-2610,,1,1
,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",*,2610,Manufacture of electronic components and boards, ,2610,F4.0707,NAICS-334416,ISIC-2610,,1,1
,334417,Electronic Connector Manufacturing,*,2610,Manufacture of electronic components and boards, ,2610,F4.0708,NAICS-334417,ISIC-2610,,1,1
,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,*,2610,Manufacture of electronic components and boards, ,2610,F4.0709,NAICS-334418,ISIC-2610,,1,1
,334419,Other Electronic Component Manufacturing ,*,2610,Manufacture of electronic components and boards, ,2610,F4.0710,NAICS-334419,ISIC-2610,,1,1
,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,*,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment", ,2660,F4.0711,NAICS-334510,ISIC-2660,,1,1
,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",*,2651,"Manufacture of measuring, testing, navigating, and control equipment", ,2651,F4.0712,NAICS-334511,ISIC-2651,,1,1
,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",*,2651,"Manufacture of measuring, testing, navigating, and control equipment", ,2651,F4.0713,NAICS-334512,ISIC-2651,,1,1
,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",*,2651,"Manufacture of measuring, testing, navigating, and control equipment", ,2651,F4.0714,NAICS-334513,ISIC-2651,,1,1
*,334514,Totalizing Fluid Meter and Counting Device Manufacturing,*,2651,"Manufacture of measuring, testing, navigating, and control equipment",except parking meters,2651,F4.0715,NAICS-334514,ISIC-2651,,1,1
*,334514,Totalizing Fluid Meter and Counting Device Manufacturing,*,2652,Manufacture of watches and clocks,parking meters,2652,F4.0716,NAICS-334514,ISIC-2652,,1,1
,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,*,2651,"Manufacture of measuring, testing, navigating, and control equipment", ,2651,F4.0717,NAICS-334515,ISIC-2651,,1,1
,334516,Analytical Laboratory Instrument Manufacturing,*,2651,"Manufacture of measuring, testing, navigating, and control equipment", ,2651,F4.0718,NAICS-334516,ISIC-2651,,1,1
,334517,Irradiation Apparatus Manufacturing,*,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment", ,2660,F4.0719,NAICS-334517,ISIC-2660,,1,1
*,334519,Other Measuring and Controlling Device Manufacturing ,*,2651,"Manufacture of measuring, testing, navigating, and control equipment",except watches and clocks,2651,F4.0720,NAICS-334519,ISIC-2651,,1,1
*,334519,Other Measuring and Controlling Device Manufacturing ,*,2652,Manufacture of watches and clocks,watches and clocks,2652,F4.0721,NAICS-334519,ISIC-2652,,1,1
,334613,Blank Magnetic and Optical Recording Media Manufacturing ,,2680,Manufacture of magnetic and optical media, ,2680,F4.0722,NAICS-334613,ISIC-2680,,1,1
,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",,1820,Reproduction of recorded media, ,1820,F4.0723,NAICS-334614,ISIC-1820,,1,1
,335110,Electric Lamp Bulb and Part Manufacturing,*,2740,Manufacture of electric lighting equipment, ,2740,F4.0724,NAICS-335110,ISIC-2740,,1,1
,335121,Residential Electric Lighting Fixture Manufacturing,*,2740,Manufacture of electric lighting equipment, ,2740,F4.0725,NAICS-335121,ISIC-2740,,1,1
,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",*,2740,Manufacture of electric lighting equipment, ,2740,F4.0726,NAICS-335122,ISIC-2740,,1,1
*,335129,Other Lighting Equipment Manufacturing,*,1399,Manufacture of other textiles n.e.c.,incandescent mantles,1399,F4.0727,NAICS-335129,ISIC-1399,,1,1
*,335129,Other Lighting Equipment Manufacturing,*,2740,Manufacture of electric lighting equipment,except incandescent mantles and bug zappers without light,2740,F4.0728,NAICS-335129,ISIC-2740,,1,1
*,335129,Other Lighting Equipment Manufacturing,*,2790,Manufacture of other electrical equipment,bug zappers without light,2790,F4.0729,NAICS-335129,ISIC-2790,,1,1
,335210,Small Electrical Appliance Manufacturing,*,2750,Manufacture of domestic appliances, ,2750,F4.0730,NAICS-335210,ISIC-2750,,1,1
,335220,Major Household Appliance Manufacturing,*,2750,Manufacture of domestic appliances, ,2750,F4.0731,NAICS-335220,ISIC-2750,,1,1
,335311,"Power, Distribution, and Specialty Transformer Manufacturing",*,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus", ,2710,F4.0732,NAICS-335311,ISIC-2710,,1,1
,335312,Motor and Generator Manufacturing,*,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus", ,2710,F4.0733,NAICS-335312,ISIC-2710,,1,1
,335313,Switchgear and Switchboard Apparatus Manufacturing,*,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus", ,2710,F4.0734,NAICS-335313,ISIC-2710,,1,1
*,335314,Relay and Industrial Control Manufacturing,*,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",except electromagnetic brakes and clutches,2710,F4.0735,NAICS-335314,ISIC-2710,,1,1
*,335314,Relay and Industrial Control Manufacturing,*,2790,Manufacture of other electrical equipment,electromagnetic brakes and clutches,2790,F4.0736,NAICS-335314,ISIC-2790,,1,1
,335911,Storage Battery Manufacturing,*,2720,Manufacture of batteries and accumulators, ,2720,F4.0737,NAICS-335911,ISIC-2720,,1,1
,335912,Primary Battery Manufacturing,*,2720,Manufacture of batteries and accumulators, ,2720,F4.0738,NAICS-335912,ISIC-2720,,1,1
,335921,Fiber Optic Cable Manufacturing,,2731,Manufacture of fibre optic cables, ,2731,F4.0739,NAICS-335921,ISIC-2731,,1,1
,335929,Other Communication and Energy Wire Manufacturing,*,2732,Manufacture of other electronic and electric wires and cables, ,2732,F4.0740,NAICS-335929,ISIC-2732,,1,1
,335931,Current-Carrying Wiring Device Manufacturing,*,2733,Manufacture of wiring devices, ,2733,F4.0741,NAICS-335931,ISIC-2733,,1,1
,335932,Noncurrent-Carrying Wiring Device Manufacturing,*,2733,Manufacture of wiring devices, ,2733,F4.0742,NAICS-335932,ISIC-2733,,1,1
*,335991,Carbon and Graphite Product Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,carbon and graphite fibers and products (except electrodes and electrical applications),2399,F4.0743,NAICS-335991,ISIC-2399,,1,1
*,335991,Carbon and Graphite Product Manufacturing,*,2790,Manufacture of other electrical equipment,except carbon and graphite fibers,2790,F4.0744,NAICS-335991,ISIC-2790,,1,1
,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,*,2790,Manufacture of other electrical equipment, ,2790,F4.0745,NAICS-335999,ISIC-2790,,1,1
,336111,Automobile Manufacturing,*,2910,Manufacture of motor vehicles, ,2910,F4.0746,NAICS-336111,ISIC-2910,,1,1
,336112,Light Truck and Utility Vehicle Manufacturing,*,2910,Manufacture of motor vehicles, ,2910,F4.0747,NAICS-336112,ISIC-2910,,1,1
,336120,Heavy Duty Truck Manufacturing,*,2910,Manufacture of motor vehicles, ,2910,F4.0748,NAICS-336120,ISIC-2910,,1,1
*,336211,Motor Vehicle Body Manufacturing,*,2816,Manufacture of lifting and handling equipment,dump truck lifting mechanisms and tail gate loaders,2816,F4.0749,NAICS-336211,ISIC-2816,,1,1
*,336211,Motor Vehicle Body Manufacturing,*,2910,Manufacture of motor vehicles,assembly of completed vehicles on purchased chassis (upfitters),2910,F4.0750,NAICS-336211,ISIC-2910,,1,1
*,336211,Motor Vehicle Body Manufacturing,*,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"except assembly of completed vehicles on purchased chassis, dump truck lifting mechanisms, and fifth wheel assemblies",2920,F4.0751,NAICS-336211,ISIC-2920,,1,1
*,336211,Motor Vehicle Body Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,fifth wheel assemblies,2930,F4.0752,NAICS-336211,ISIC-2930,,1,1
,336212,Truck Trailer Manufacturing,*,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers, ,2920,F4.0753,NAICS-336212,ISIC-2920,,1,1
,336213,Motor Home Manufacturing,*,2910,Manufacture of motor vehicles, ,2910,F4.0754,NAICS-336213,ISIC-2910,,1,1
,336214,Travel Trailer and Camper Manufacturing,*,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers, ,2920,F4.0755,NAICS-336214,ISIC-2920,,1,1
*,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,*,2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","intake and exhaust valves, pistons, and piston rings",2811,F4.0756,NAICS-336310,ISIC-2811,,1,1
*,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",pumps for mounting on internal combustion engines,2813,F4.0757,NAICS-336310,ISIC-2813,,1,1
*,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,*,2910,Manufacture of motor vehicles,"motor vehicle engines, gasoline, new; factory rebuilding of automotive engines",2910,F4.0758,NAICS-336310,ISIC-2910,,1,1
*,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,"except intake and exhaust valves, pistons, piston rings, complete motor vehicle gasoline engines, and pumps for internal combustion engines",2930,F4.0759,NAICS-336310,ISIC-2930,,1,1
*,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,*,2740,Manufacture of electric lighting equipment,vehicular lighting fixtures,2740,F4.0760,NAICS-336320,ISIC-2740,,1,1
*,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",electric fuel pumps,2813,F4.0761,NAICS-336320,ISIC-2813,,1,1
*,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,except vehicular lighting fixtures and electric fuel pumps,2930,F4.0762,NAICS-336320,ISIC-2930,,1,1
*,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",power steering pumps,2813,F4.0763,NAICS-336330,ISIC-2813,,1,1
*,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,except power steering pumps,2930,F4.0764,NAICS-336330,ISIC-2930,,1,1
*,336340,Motor Vehicle Brake System Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,asbestos based brake linings,2399,F4.0765,NAICS-336340,ISIC-2399,,1,1
*,336340,Motor Vehicle Brake System Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",brake master cylinders - hydraulic pumps,2813,F4.0766,NAICS-336340,ISIC-2813,,1,1
*,336340,Motor Vehicle Brake System Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,except asbestos based brake linings and brake master cylinders - hydraulic pumps,2930,F4.0767,NAICS-336340,ISIC-2930,,1,1
*,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,asbestos based clutch facings,2399,F4.0768,NAICS-336350,ISIC-2399,,1,1
*,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,except asbestos based clutch facings,2930,F4.0769,NAICS-336350,ISIC-2930,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,1392,"Manufacture of made-up textile articles, except apparel","automobile motor vehicle interior systems (headliners, panels), seat belts, tire covers and seat covers made from purchased fabrics",1392,F4.0770,NAICS-336360,ISIC-1392,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,1399,Manufacture of other textiles n.e.c.,automotive trimmings,1399,F4.0771,NAICS-336360,ISIC-1399,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,2220,Manufacture of plastics products,plastic motor vehicle interior panels and trim,2220,F4.0772,NAICS-336360,ISIC-2220,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,motor vehicle seats ,2930,F4.0773,NAICS-336360,ISIC-2930,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,3011,Building of ships and floating structures,ship and floating structure seats,3011,F4.0774,NAICS-336360,ISIC-3011,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,3020,Manufacture of railway locomotives and rolling stock,railway equipment seats,3020,F4.0775,NAICS-336360,ISIC-3020,,1,1
*,336360,Motor Vehicle Seating and Interior Trim Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery,aircraft seats,3030,F4.0776,NAICS-336360,ISIC-3030,,1,1
,336370,Motor Vehicle Metal Stamping,*,2591,"Forging, pressing, stamping and roll-forming or metal; powder metallurgy", ,2591,F4.0777,NAICS-336370,ISIC-2591,,1,1
*,336390,Other Motor Vehicle Parts Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",motor vehicle air-conditioning compressors ,2813,F4.0778,NAICS-336390,ISIC-2813,,1,1
*,336390,Other Motor Vehicle Parts Manufacturing,*,2819,Manufacture of other general-purpose machinery,"filters, automotive type including fuel, oil, air, etc.; except individual air-conditioning compressors",2819,F4.0779,NAICS-336390,ISIC-2819,,1,1
*,336390,Other Motor Vehicle Parts Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,except motor vehicle filters,2930,F4.0780,NAICS-336390,ISIC-2930,,1,1
,336411,Aircraft Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery, ,3030,F4.0781,NAICS-336411,ISIC-3030,,1,1
*,336412,Aircraft Engine and Engine Parts Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",pumps used on aircraft engines,2813,F4.0782,NAICS-336412,ISIC-2813,,1,1
*,336412,Aircraft Engine and Engine Parts Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery,except pumps used on aircraft engines,3030,F4.0783,NAICS-336412,ISIC-3030,,1,1
,336413,Other Aircraft Part and Auxiliary Equipment Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery, ,3030,F4.0784,NAICS-336413,ISIC-3030,,1,1
,336414,Guided Missile and Space Vehicle Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery, ,3030,F4.0785,NAICS-336414,ISIC-3030,,1,1
,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery, ,3030,F4.0786,NAICS-336415,ISIC-3030,,1,1
,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,*,3030,Manufacture of air and spacecraft and related machinery, ,3030,F4.0787,NAICS-336419,ISIC-3030,,1,1
*,336510,Railroad Rolling Stock Manufacturing,*,2910,Manufacture of motor vehicles,trackless trolley buses (electric power from overhead or underground wires),2910,F4.0788,NAICS-336510,ISIC-2910,,1,1
*,336510,Railroad Rolling Stock Manufacturing,*,3020,Manufacture of railway locomotives and rolling stock,except trackless trolley buses,3020,F4.0789,NAICS-336510,ISIC-3020,,1,1
*,336611,Ship Building and Repairing,*,3011,Building of ships and floating structures,except repairs performed in a shipyard,3011,F4.0790,NAICS-336611,ISIC-3011,,1,1
*,336611,Ship Building and Repairing,*,3315,"Repair of transport equipment, except motor vehicles",repair and maintenance performed in a shipyard,3315,F4.0791,NAICS-336611,ISIC-3315,,1,1
,336612,Boat Building,*,3012,Building of pleasure and sporting boats, ,3012,F4.0792,NAICS-336612,ISIC-3012,,1,1
*,336991,"Motorcycle, Bicycle, and Parts Manufacturing",*,3091,Manufacture of motorcycles,"except bicycles and parts, metal tricycles",3091,F4.0793,NAICS-336991,ISIC-3091,,1,1
*,336991,"Motorcycle, Bicycle, and Parts Manufacturing",*,3092,Manufacture of bicycles and invalid carriages,"bicycles and bicycle parts, children's metal tricycles",3092,F4.0794,NAICS-336991,ISIC-3092,,1,1
,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,3040,Manufacture of military fighting vehicles, ,3040,F4.0795,NAICS-336992,ISIC-3040,,1,1
*,336999,All Other Transportation Equipment Manufacturing,*,2910,Manufacture of motor vehicles,"except ATV, snowmobile, and golf cart parts; personal watercraft, and animal drawn vehicles",2910,F4.0796,NAICS-336999,ISIC-2910,,1,1
*,336999,All Other Transportation Equipment Manufacturing,*,2930,Manufacture of parts and accessories for motor vehicles,"ATV, snowmobile, and golf cart parts",2930,F4.0797,NAICS-336999,ISIC-2930,,1,1
*,336999,All Other Transportation Equipment Manufacturing,*,3012,Building of pleasure and sporting boats,personal watercraft,3012,F4.0798,NAICS-336999,ISIC-3012,,1,1
*,336999,All Other Transportation Equipment Manufacturing,*,3099,Manufacture of other transport equipment n.e.c.,"animal drawn wagons and buggies, vendor carts and similar",3099,F4.0799,NAICS-336999,ISIC-3099,,1,1
,337110,Wood Kitchen Cabinet and Countertop Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0800,NAICS-337110,ISIC-3100,,1,1
,337121,Upholstered Household Furniture Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0801,NAICS-337121,ISIC-3100,,1,1
,337122,Nonupholstered Wood Household Furniture Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0802,NAICS-337122,ISIC-3100,,1,1
,337124,Metal Household Furniture Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0803,NAICS-337124,ISIC-3100,,1,1
,337125,Household Furniture (except Wood and Metal) Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0804,NAICS-337125,ISIC-3100,,1,1
*,337127,Institutional Furniture Manufacturing,*,3100,Manufacture of furniture,except hydraulic beauty and barber chairs,3100,F4.0805,NAICS-337127,ISIC-3100,,1,1
*,337127,Institutional Furniture Manufacturing,*,3250,Manufacture of medical and dental instruments and supplies,hydraulic type beauty and barber chairs,3250,F4.0806,NAICS-337127,ISIC-3250,,1,1
,337211,Wood Office Furniture Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0807,NAICS-337211,ISIC-3100,,1,1
,337212,Custom Architectural Woodwork and Millwork Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0808,NAICS-337212,ISIC-3100,,1,1
,337214,Office Furniture (except Wood) Manufacturing,*,3100,Manufacture of furniture, ,3100,F4.0809,NAICS-337214,ISIC-3100,,1,1
*,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",*,1622,Manufacture of builders' carpentry and joinery,wood partitions (except free standing),1622,F4.0810,NAICS-337215,ISIC-1622,,1,1
*,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",*,2220,Manufacture of plastics products,"finished plastic furniture parts (e.g., frames)",2220,F4.0811,NAICS-337215,ISIC-2220,,1,1
*,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",*,2511,Manufacture of structural metal products,"room partitions for floor attachment, metal",2511,F4.0812,NAICS-337215,ISIC-2511,,1,1
*,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",*,3100,Manufacture of furniture,"except wood partitions, finished plastics furniture parts, and metal room partitions",3100,F4.0813,NAICS-337215,ISIC-3100,,1,1
*,337910,Mattress Manufacturing,*,2219,Manufacture of other rubber products,rubber waterbed mattresses,2219,F4.0814,NAICS-337910,ISIC-2219,,1,1
*,337910,Mattress Manufacturing,*,2220,Manufacture of plastics products,plastic waterbed mattresses,2220,F4.0815,NAICS-337910,ISIC-2220,,1,1
*,337910,Mattress Manufacturing,*,3100,Manufacture of furniture,except rubber and plastic waterbed mattresses,3100,F4.0816,NAICS-337910,ISIC-3100,,1,1
*,337920,Blind and Shade Manufacturing,*,1392,"Manufacture of made-up textile articles, except apparel","except wooden blinds and drapery rods, plastics shades and drapery rods, metal drapery rods, and metal shades and blinds",1392,F4.0817,NAICS-337920,ISIC-1392,,1,1
*,337920,Blind and Shade Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",wooden window blinds and curtain and drapery rods and fixtures,1629,F4.0818,NAICS-337920,ISIC-1629,,1,1
*,337920,Blind and Shade Manufacturing,*,2220,Manufacture of plastics products,"plastic shades, blinds (e.g., miniblinds), and plastics hardware for hanging shades, blinds, and drapery",2220,F4.0819,NAICS-337920,ISIC-2220,,1,1
*,337920,Blind and Shade Manufacturing,*,2593,"Manufacture of cutlery, hand tools and general hardware",drapery and curtain rods and hardware,2593,F4.0820,NAICS-337920,ISIC-2593,,1,1
*,337920,Blind and Shade Manufacturing,*,2599,Manufacture of other fabricated metal products n.e.c.,metal blinds,2599,F4.0821,NAICS-337920,ISIC-2599,,1,1
,339112,Surgical and Medical Instrument Manufacturing,*,3250,Manufacture of medical and dental instruments and supplies, ,3250,F4.0822,NAICS-339112,ISIC-3250,,1,1
*,339113,Surgical Appliance and Supplies Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","surgical dressings, surgical sutures, etc., medicated",2100,F4.0823,NAICS-339113,ISIC-2100,,1,1
*,339113,Surgical Appliance and Supplies Manufacturing,*,2813,"Manufacture of other pumps, compressors, taps and valves",laboratory pumps (vacuum pumps and similar),2813,F4.0824,NAICS-339113,ISIC-2813,,1,1
*,339113,Surgical Appliance and Supplies Manufacturing,*,3092,Manufacture of bicycles and invalid carriages,wheel chairs,3092,F4.0825,NAICS-339113,ISIC-3092,,1,1
*,339113,Surgical Appliance and Supplies Manufacturing,*,3250,Manufacture of medical and dental instruments and supplies,"except medicated surgical dressings, laboratory pumps, wheel chairs, and personal safety devices",3250,F4.0826,NAICS-339113,ISIC-3250,,1,1
*,339113,Surgical Appliance and Supplies Manufacturing,*,3290,Other manufacturing n.e.c.,personal safety devices,3290,F4.0827,NAICS-339113,ISIC-3290,,1,1
,339114,Dental Equipment and Supplies Manufacturing,*,3250,Manufacture of medical and dental instruments and supplies, ,3250,F4.0828,NAICS-339114,ISIC-3250,,1,1
,339115,Ophthalmic Goods Manufacturing,*,3250,Manufacture of medical and dental instruments and supplies, ,3250,F4.0829,NAICS-339115,ISIC-3250,,1,1
,339116,Dental Laboratories,*,3250,Manufacture of medical and dental instruments and supplies, ,3250,F4.0830,NAICS-339116,ISIC-3250,,1,1
*,339910,Jewelry and Silverware Manufacturing ,*,2592,Treatment and coating of metals; machining,"industrial engraving on precious metal; engraving (including laser) and etching precious jewelry; engraving (including laser), etching or chasing precious or precious clad hollowware and silverware",2592,F4.0831,NAICS-339910,ISIC-2592,,1,1
*,339910,Jewelry and Silverware Manufacturing ,*,2599,Manufacture of other fabricated metal products n.e.c.,"personal goods (cigar and cigarette cases, coin purses, compacts, etc.) of base metal and of base metal plated with precious metal",2599,F4.0832,NAICS-339910,ISIC-2599,,1,1
*,339910,Jewelry and Silverware Manufacturing ,*,3211,Manufacture of jewellery and related articles,"except engraving, chasing, or etching on precious jewelry, metal, or clad hollowware and silverware",3211,F4.0833,NAICS-339910,ISIC-3211,,1,1
*,339910,Jewelry and Silverware Manufacturing ,,3212,Manufacture of imitation jewellery and related articles,except personal goods of base metal or base metal plated with precious metal,3212,F4.0834,NAICS-339910,ISIC-3212,,1,1
*,339920,Sporting and Athletic Goods Manufacturing,*,2219,Manufacture of other rubber products,rubber wet suits and diving suits,2219,F4.0835,NAICS-339920,ISIC-2219,,1,1
*,339920,Sporting and Athletic Goods Manufacturing,*,2829,Manufacture of other special-purpose machinery,bowling alley equipment (pin setters and ball return equipment),2829,F4.0836,NAICS-339920,ISIC-2829,,1,1
*,339920,Sporting and Athletic Goods Manufacturing,*,3220,Manufacture of musical instruments,game calls (mouth blown signaling instruments) ,3220,F4.0837,NAICS-339920,ISIC-3220,,1,1
*,339920,Sporting and Athletic Goods Manufacturing,*,3230,Manufacture of sports goods,"except game calls, wet suits, bowling alley equipment, and pool tables and related equipment",3230,F4.0838,NAICS-339920,ISIC-3230,,1,1
*,339920,Sporting and Athletic Goods Manufacturing,*,3240,Manufacture of games and toys,billiard and pool tables and equipment ,3240,F4.0839,NAICS-339920,ISIC-3240,,1,1
*,339930,"Doll, Toy, and Game Manufacturing",*,2640,Manufacture of consumer electronics,video game consoles (dedicated games),2640,F4.0840,NAICS-339930,ISIC-2640,,1,1
*,339930,"Doll, Toy, and Game Manufacturing",*,3092,Manufacture of bicycles and invalid carriages,baby carriages and strollers,3092,F4.0841,NAICS-339930,ISIC-3092,,1,1
*,339930,"Doll, Toy, and Game Manufacturing",*,3230,Manufacture of sports goods,"miscellaneous sporting toys (wiffle ball bats, other)",3230,F4.0842,NAICS-339930,ISIC-3230,,1,1
*,339930,"Doll, Toy, and Game Manufacturing",*,3240,Manufacture of games and toys,"except sporting toys, baby carriages, strollers, and dedicated video game consoles",3240,F4.0843,NAICS-339930,ISIC-3240,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,1399,Manufacture of other textiles n.e.c.,artists' canvas boards and tracing cloth,1399,F4.0844,NAICS-339940,ISIC-1399,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",frames for artists' canvases,1629,F4.0845,NAICS-339940,ISIC-1629,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,1701,"Manufacture of pulp, paper and paperboard",bulk carbon paper or stencil paper in rolls or large sheets,1701,F4.0846,NAICS-339940,ISIC-1701,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,1709,Manufacture of other articles of paper and paperboard,"ready to use carbon paper, duplicator stencils, etc.",1709,F4.0847,NAICS-339940,ISIC-1709,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",artists' paints and colors,2022,F4.0848,NAICS-339940,ISIC-2022,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),"staplers, hand-held punches, labelers, and similar office machinery, blackboards, whiteboards",2817,F4.0849,NAICS-339940,ISIC-2817,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,2819,Manufacture of other general-purpose machinery,artists' air brushes,2819,F4.0850,NAICS-339940,ISIC-2819,,1,1
*,339940,Office Supplies (except Paper) Manufacturing,*,3290,Other manufacturing n.e.c.,"except artists' canvas boards, canvas frames, hand-held office machines, artists' air brushes, and carbon paper",3290,F4.0851,NAICS-339940,ISIC-3290,,1,1
*,339950,Sign Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",wooden signs,1629,F4.0852,NAICS-339950,ISIC-1629,,1,1
*,339950,Sign Manufacturing,*,1811,Printing,"printing plastic, wood, glass, etc. signs",1811,F4.0853,NAICS-339950,ISIC-1811,,1,1
*,339950,Sign Manufacturing,*,2220,Manufacture of plastics products,"blanks for plastic name plates, plastic letters for signs",2220,F4.0854,NAICS-339950,ISIC-2220,,1,1
*,339950,Sign Manufacturing,*,2599,Manufacture of other fabricated metal products n.e.c.,metal signs and metal sign letters,2599,F4.0855,NAICS-339950,ISIC-2599,,1,1
*,339950,Sign Manufacturing,*,2790,Manufacture of other electrical equipment,"except wooden, plastic, and metal nonelectric signs",2790,F4.0856,NAICS-339950,ISIC-2790,,1,1
